,reward,performance,loss,episode,reward_smooth,performance_smooth
298,-29.0,-34.0,0.0,298.0,-43.77,-49.57
299,-26.0,-36.0,0.0,299.0,-43.21,-49.11
300,-86.0,-91.0,21611.89169382382,300.0,-43.76,-49.61
301,-37.0,-47.0,0.0,301.0,-43.83,-49.68
302,-84.0,-84.0,0.0,302.0,-44.36,-50.11
303,-75.0,-75.0,19469.030783491686,303.0,-44.82,-50.47
304,-86.0,-86.0,0.0,304.0,-45.37,-51.02
305,-24.0,-24.0,1.0,305.0,-45.33,-50.88
306,-29.0,-39.0,0.0,306.0,-45.35,-50.9
307,-78.0,-83.0,0.0,307.0,-45.84,-51.34
308,-31.0,-31.0,11.0,308.0,-45.35,-50.75
309,-77.0,-77.0,0.0,309.0,-45.82,-51.17
310,-30.0,-40.0,0.0,310.0,-45.38,-50.83
311,-27.0,-27.0,0.0,311.0,-45.4,-50.8
312,-30.0,-35.0,0.0,312.0,-45.39,-50.74
313,-83.0,-93.0,1823.0779951206682,313.0,-45.91,-51.26
314,-30.0,-40.0,2212.28181801,314.0,-45.89,-51.24
315,-84.0,-84.0,0.0,315.0,-46.51,-51.86
316,-85.0,-85.0,0.0,316.0,-47.04,-52.29
317,-80.0,-80.0,0.0,317.0,-47.06,-52.26
318,-26.0,-36.0,0.0,318.0,-46.55,-51.85
319,-27.0,-37.0,0.0,319.0,-46.06,-51.46
320,-80.0,-80.0,0.0,320.0,-46.05,-51.35
321,-31.0,-36.0,14.0,321.0,-45.5,-50.85
322,-27.0,-37.0,2.0,322.0,-45.53,-50.88
323,-31.0,-36.0,0.0,323.0,-45.48,-50.88
324,-27.0,-37.0,0.0,324.0,-45.48,-50.88
325,-39.0,-49.0,0.0,325.0,-45.53,-50.93
326,-71.0,-81.0,3245.0441696399716,326.0,-45.95,-51.35
327,-29.0,-34.0,0.0,327.0,-45.54,-50.99
328,-29.0,-39.0,0.0,328.0,-44.99,-50.49
329,-37.0,-47.0,0.0,329.0,-44.56,-50.11
330,-31.0,-41.0,0.0,330.0,-44.65,-50.25
331,-25.0,-30.0,0.0,331.0,-44.23,-49.88
332,-78.0,-78.0,0.0,332.0,-44.65,-50.3
333,-27.0,-32.0,0.0,333.0,-44.05,-49.75
334,-78.0,-88.0,0.0,334.0,-44.54,-50.29
335,-77.0,-77.0,0.0,335.0,-44.98,-50.73
336,-74.0,-74.0,4445.56363602,336.0,-45.4,-51.15
337,-73.0,-78.0,14170.314890892249,337.0,-45.81,-51.61
338,-34.0,-34.0,7.0,338.0,-45.35,-51.15
339,-78.0,-78.0,36.0,339.0,-45.78,-51.58
340,-25.0,-30.0,0.0,340.0,-45.75,-51.6
341,-30.0,-30.0,0.0,341.0,-45.81,-51.56
342,-80.0,-85.0,0.0,342.0,-46.34,-52.09
343,-24.0,-34.0,0.0,343.0,-46.31,-52.06
344,-72.0,-72.0,0.0,344.0,-47.25,-52.95
345,-29.0,-39.0,0.0,345.0,-47.77,-53.42
346,-27.0,-32.0,0.0,346.0,-47.76,-53.36
347,-24.0,-24.0,0.0,347.0,-48.38,-53.88
348,-26.0,-26.0,0.0,348.0,-48.31,-53.71
349,-26.0,-26.0,3.0,349.0,-47.81,-53.21
350,-25.0,-30.0,0.0,350.0,-47.28,-52.63
351,-31.0,-31.0,13.0,351.0,-47.3,-52.55
352,-25.0,-35.0,0.0,352.0,-46.71,-52.06
353,-85.0,-90.0,0.0,353.0,-47.27,-52.57
354,-32.0,-42.0,0.0,354.0,-46.8,-52.1
355,-31.0,-41.0,4.0,355.0,-46.85,-52.15
356,-29.0,-39.0,0.0,356.0,-46.31,-51.71
357,-33.0,-43.0,10974.33929005,357.0,-46.4,-51.8
358,-85.0,-90.0,0.0,358.0,-46.44,-51.79
359,-34.0,-44.0,0.0,359.0,-46.5,-51.85
360,-27.0,-37.0,8.0,360.0,-45.97,-51.42
361,-28.0,-28.0,0.0,361.0,-45.45,-50.9
362,-81.0,-81.0,0.0,362.0,-45.54,-50.94
363,-30.0,-45.0,21.0,363.0,-45.49,-51.04
364,-24.0,-34.0,0.0,364.0,-45.37,-50.92
365,-82.0,-82.0,0.0,365.0,-45.39,-50.94
366,-30.0,-40.0,0.0,366.0,-44.91,-50.56
367,-25.0,-25.0,0.0,367.0,-44.86,-50.41
368,-22.0,-32.0,6.0,368.0,-44.26,-49.81
369,-25.0,-25.0,10.0,369.0,-44.76,-50.21
370,-31.0,-41.0,0.0,370.0,-44.25,-49.8
371,-84.0,-84.0,0.0,371.0,-44.74,-50.24
372,-26.0,-36.0,21622.0659474364,372.0,-44.24,-49.84
373,-27.0,-37.0,0.0,373.0,-43.67,-49.27
374,-78.0,-88.0,11441.56188613835,374.0,-44.15,-49.8
375,-27.0,-37.0,0.0,375.0,-44.06,-49.81
376,-28.0,-38.0,0.0,376.0,-43.57,-49.32
377,-23.0,-28.0,0.0,377.0,-42.98,-48.73
378,-80.0,-80.0,0.0,378.0,-43.49,-49.24
379,-22.0,-32.0,0.0,379.0,-43.48,-49.23
380,-30.0,-30.0,0.0,380.0,-43.53,-49.18
381,-31.0,-31.0,15989.674598778405,381.0,-43.07,-48.67
382,-24.0,-34.0,0.0,382.0,-42.5,-48.2
383,-29.0,-39.0,11.0,383.0,-42.5,-48.25
384,-77.0,-82.0,0.0,384.0,-42.43,-48.08
