,reward,performance,loss,episode,episode_smooth,reward_smooth,performance_smooth,loss_smooth
266,-5.0,-15.0,0.0,266.0,216.5,-11.33,-19.53,289.0527007452174
267,-4.0,-14.0,0.0,267.0,217.5,-11.14,-19.44,288.8427007452174
268,-5.0,-15.0,0.0,268.0,218.5,-11.08,-19.38,288.8427007452174
269,-11.0,-21.0,0.0,269.0,219.5,-11.13,-19.53,288.8327007452174
270,-1.0,-11.0,0.0,270.0,220.5,-11.0,-19.45,288.8327007452174
271,-26.0,-36.0,0.0,271.0,221.5,-11.01,-19.46,288.8327007452174
272,-2.0,-12.0,0.0,272.0,222.5,-10.8,-19.25,288.8327007452174
273,-13.0,-23.0,2460.5707344913203,273.0,223.5,-10.72,-19.17,313.2084080901306
274,-7.0,-17.0,0.0,274.0,224.5,-10.7,-19.15,313.2084080901306
275,-8.0,-18.0,0.0,275.0,225.5,-10.56,-19.01,312.00570046707054
276,-7.0,-17.0,0.0,276.0,226.5,-10.44,-18.89,311.9557004670706
277,-6.0,-16.0,0.0,277.0,227.5,-10.2,-18.7,311.68570046707055
278,-4.0,-9.0,0.0,278.0,228.5,-10.03,-18.48,311.6357004670706
279,-11.0,-16.0,2.0,279.0,229.5,-9.95,-18.4,311.6557004670706
280,-9.0,-19.0,1.0,280.0,230.5,-9.83,-18.33,311.66570046707056
281,-6.0,-16.0,0.0,281.0,231.5,-9.71,-18.21,311.66570046707056
282,-11.0,-21.0,0.0,282.0,232.5,-9.67,-18.22,311.6357004670706
283,47.0,37.0,2405.0,283.0,233.5,-9.08,-17.68,335.68570046707055
284,-18.0,-28.0,0.0,284.0,234.5,-9.11,-17.71,335.68570046707055
285,0.0,-10.0,0.0,285.0,235.5,-8.89,-17.49,335.68570046707055
286,0.0,-10.0,0.0,286.0,236.5,-8.7,-17.3,335.68570046707055
287,3.0,3.0,0.0,287.0,237.5,-8.58,-17.08,335.68570046707055
288,-1.0,-11.0,0.0,288.0,238.5,-8.33,-16.83,335.68570046707055
289,3.0,-7.0,0.0,289.0,239.5,-8.21,-16.76,335.68570046707055
290,5.0,0.0,0.0,290.0,240.5,-7.99,-16.49,319.7833615137499
291,-1.0,-1.0,0.0,291.0,241.5,-7.88,-16.28,319.7833615137499
292,1.0,-4.0,0.0,292.0,242.5,-7.65,-16.05,319.70336151374994
293,4.0,-1.0,0.0,293.0,243.5,-7.24,-15.59,276.29576123460623
294,-6.0,-6.0,0.0,294.0,244.5,-7.11,-15.36,276.29576123460623
295,-19.0,-29.0,0.0,295.0,245.5,-7.11,-15.41,276.2752753796453
296,-2.0,-12.0,0.0,296.0,246.5,-6.91,-15.26,276.2452753796453
297,-8.0,-18.0,0.0,297.0,247.5,-6.91,-15.36,276.2452753796453
298,2.0,-3.0,0.0,298.0,248.5,-6.74,-15.14,276.2452753796453
299,-8.0,-18.0,0.0,299.0,249.5,-6.67,-15.07,276.2452753796453
300,-13.0,-18.0,0.0,300.0,250.5,-6.69,-15.14,253.67327437964525
301,-16.0,-26.0,6.0,301.0,251.5,-7.33,-15.73,229.69327437964526
302,-13.0,-23.0,0.0,302.0,252.5,-7.27,-15.67,229.69327437964526
303,-5.0,-15.0,0.0,303.0,253.5,-7.17,-15.57,229.69327437964526
304,-13.0,-23.0,0.0,304.0,254.5,-7.1,-15.5,229.69327437964526
305,1.0,-4.0,0.0,305.0,255.5,-6.91,-15.31,229.66327437964526
306,-10.0,-10.0,14853.270126261337,306.0,256.5,-6.81,-15.11,378.19597564225865
307,-8.0,-8.0,4.0,307.0,257.5,-6.71,-15.01,378.08597564225863
308,-77.0,-82.0,13311.491285872558,308.0,258.5,-7.44,-15.69,511.2008885009842
309,-8.0,-13.0,0.0,309.0,259.5,-7.34,-15.54,511.2008885009842
310,-14.0,-14.0,2353.2201,310.0,260.5,-7.33,-15.43,534.7330895009842
311,0.0,-5.0,0.0,311.0,261.5,-7.18,-15.28,534.7330895009842
312,-2.0,-7.0,0.0,312.0,262.5,-7.12,-15.22,534.7330895009842
313,-14.0,-24.0,3651.4346433157375,313.0,263.5,-7.14,-15.24,571.2474359341415
314,-7.0,-12.0,0.0,314.0,264.5,-7.14,-15.24,571.2474359341415
315,5.0,-5.0,0.0,315.0,265.5,-6.91,-15.01,571.2474359341415
316,-7.0,-17.0,0.0,316.0,266.5,-6.82,-14.92,571.2474359341415
317,-1.0,-6.0,0.0,317.0,267.5,-7.3,-15.3,499.21650128312945
318,1.0,-4.0,0.0,318.0,268.5,-7.15,-15.1,478.44610429461346
319,1.0,-9.0,0.0,319.0,269.5,-7.03,-14.98,478.44610429461346
320,-7.0,-7.0,0.0,320.0,270.5,-7.02,-14.87,478.44610429461346
321,-9.0,-19.0,3419.1663386829673,321.0,271.5,-7.01,-14.96,471.58693598802836
322,-1.0,-1.0,0.0,322.0,272.5,-6.88,-14.73,471.58693598802824
323,7.0,-3.0,0.0,323.0,273.5,-6.72,-14.57,471.58693598802824
324,0.0,-10.0,0.0,324.0,274.5,-6.58,-14.43,471.58693598802824
325,2.0,-3.0,0.0,325.0,275.5,-6.46,-14.26,471.58693598802824
326,5.0,-5.0,0.0,326.0,276.5,-6.31,-14.11,471.58693598802824
327,9.0,-1.0,0.0,327.0,277.5,-6.14,-13.94,471.58693598802824
328,11.0,1.0,0.0,328.0,278.5,-5.84,-13.64,471.58693598802824
329,5.0,-5.0,0.0,329.0,279.5,-5.69,-13.59,471.4769359880283
330,2.0,-8.0,0.0,330.0,280.5,-5.6,-13.5,471.4769359880283
331,-7.0,-17.0,0.0,331.0,281.5,-5.6,-13.5,471.4769359880283
332,4.0,-6.0,0.0,332.0,282.5,-5.41,-13.31,471.2262201412002
333,0.0,-5.0,0.0,333.0,283.5,-5.15,-13.0,471.2057342862392
334,1.0,1.0,1.0,334.0,284.5,-5.03,-12.78,471.06573428623915
335,3.0,-7.0,0.0,335.0,285.5,-4.93,-12.68,471.06573428623915
336,0.0,-10.0,0.0,336.0,286.5,-4.76,-12.51,471.06573428623915
337,3.0,-7.0,12868.964550584802,337.0,287.5,-4.65,-12.4,599.7553797920872
338,5.0,-5.0,0.0,338.0,288.5,-4.49,-12.24,599.7553797920872
339,-1.0,-11.0,5978.742646800109,339.0,289.5,-4.39,-12.14,659.5428062600882
340,6.0,-4.0,0.0,340.0,290.5,-4.21,-12.01,659.4928062600883
341,-15.0,-25.0,0.0,341.0,291.5,-4.28,-12.08,659.4928062600883
342,-2.0,-7.0,0.0,342.0,292.5,-4.19,-11.99,659.4928062600883
343,2.0,-3.0,0.0,343.0,293.5,-4.09,-11.89,659.4928062600883
344,-2.0,-7.0,0.0,344.0,294.5,-3.96,-11.71,659.4928062600883
345,-5.0,-15.0,0.0,345.0,295.5,-3.88,-11.63,659.4928062600883
346,5.0,-5.0,0.0,346.0,296.5,-3.72,-11.47,659.4928062600883
347,10.0,0.0,0.0,347.0,297.5,-3.56,-11.31,659.4928062600883
348,-5.0,-15.0,8.0,348.0,298.5,-3.63,-11.38,659.5728062600882
349,-4.0,-14.0,0.0,349.0,299.5,-3.58,-11.38,659.5728062600882
350,-5.0,-10.0,0.0,350.0,300.5,-3.55,-11.3,659.5728062600882
351,3.0,-2.0,0.0,351.0,301.5,-3.37,-11.07,659.5728062600882
352,63.0,48.0,5717.780943069176,352.0,302.5,-2.72,-10.47,716.7506156907801
353,5.0,-5.0,0.0,353.0,303.5,-2.72,-10.52,716.7506156907801
354,1.0,-9.0,0.0,354.0,304.5,-2.66,-10.56,716.7506156907801
355,2.0,-8.0,3527.1611644621516,355.0,305.5,-2.61,-10.56,752.0222273354016
356,4.0,-6.0,0.0,356.0,306.5,-2.46,-10.41,752.0222273354016
357,13.0,3.0,0.0,357.0,307.5,-2.16,-10.16,751.8522273354015
358,-8.0,-8.0,0.0,358.0,308.5,-2.13,-10.03,751.8122273354015
359,-11.0,-21.0,8065.018750669755,359.0,309.5,-2.14,-10.04,832.4624148420991
360,4.0,-1.0,1.0,360.0,310.5,-2.03,-9.88,832.472414842099
361,8.0,3.0,0.0,361.0,311.5,-1.91,-9.71,832.472414842099
362,6.0,-4.0,0.0,362.0,312.5,-1.81,-9.61,832.472414842099
